Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Shohei Nose,12,5,2,66.0,"68""",1.52,37%,2.17,52%,2.23,17%,14%,3.6
Greg Nagy,1,3,0,73.0,--,0.41,50%,2.69,37%,0.00,0%,0%,1.2
Anthony Njokuani,16,12,0 (1 NC),73.0,"75""",3.94,46%,2.41,65%,0.50,45%,53%,0.2
Geoff Neal,16,6,0,71.0,"75""",5.05,51%,5.44,57%,0.56,50%,87%,0.1
Taiyilake Nueraji,9,1,0,74.0,"75""",11.01,48%,7.39,58%,0.00,0%,0%,0.0
Josiane Nunes,10,4,0,62.0,"67""",5.65,43%,5.76,51%,0.00,0%,58%,0.0
Shane Nelson,16,7,0,69.0,"70""",1.38,31%,2.84,61%,1.31,18%,54%,1.6
Keiichiro Nakamura,6,1,0,68.0,"70""",3.92,52%,3.78,60%,0.00,0%,100%,0.0
Lissette Neri,6,4,0,62.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mandel Nallo,13,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yuji Nagata,0,2,0,72.0,--,1.45,40%,14.46,4%,0.00,0%,0%,0.0
Joe Neal,6,2,0,66.0,--,1.87,19%,3.80,66%,0.00,0%,0%,0.0
Jan Nortje,2,6,0,73.0,--,3.32,51%,4.50,32%,0.00,0%,66%,2.9
Yusaku Nakamura,14,4,1,65.0,--,1.72,45%,3.67,55%,0.00,0%,83%,0.0
Yasuhito Namekawa,25,16,4,69.0,--,0.14,50%,3.65,38%,2.11,25%,0%,4.2
Roy Nelson,22,14,0,72.0,"73""",2.18,36%,4.79,46%,1.14,27%,65%,0.1
Antonio Rodrigo Nogueira,34,10,1 (1 NC),75.0,"77""",1.95,42%,2.40,55%,1.30,29%,36%,2.4
Nasrudin Nasrudinov,9,1,0,72.0,"71""",1.03,87%,0.29,75%,2.20,50%,40%,0.0
Ramsey Nijem,9,6,0,71.0,"75""",3.05,44%,1.62,62%,5.32,62%,55%,1.1
Logan Nail,1,1,0,,--,1.93,51%,2.27,39%,0.00,0%,37%,0.0
Jack Nilson,2,6,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mats Nilsson,11,4,1,73.0,--,2.99,39%,5.62,63%,3.87,83%,44%,2.3
