Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Brandon Shuey,7,6,0,67.0,--,0.68,33%,1.36,0%,0.00,0%,0%,10.2
Luis Saldana,16,7,1,71.0,"73""",5.16,50%,3.65,60%,0.64,17%,44%,0.2
Sebastian Szalay,9,1,0,66.0,"66""",3.80,41%,1.13,74%,0.00,0%,84%,0.0
Hugo Sandoval,2,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kyle Stewart,11,3,0,72.0,"76""",1.41,35%,2.42,43%,1.32,20%,60%,0.0
Pete Sell,10,7,0,71.0,"75""",2.60,42%,3.65,51%,0.91,21%,47%,0.9
Assuerio Silva,16,8,0 (1 NC),70.0,--,1.42,46%,4.20,54%,2.66,34%,25%,1.8
Cub Swanson,30,14,0,68.0,"70""",4.79,51%,4.00,59%,1.01,50%,63%,0.4
Matt Sayles,8,4,0,67.0,"68""",4.83,41%,2.81,61%,0.36,16%,81%,0.7
Julija Stoliarenko,11,9,2,67.0,"66""",2.49,39%,4.54,46%,0.93,27%,54%,1.7
Anderson Silva,34,11,0 (1 NC),74.0,"77""",3.05,61%,2.05,60%,0.50,77%,69%,0.8
Matheus Scheffel,14,7,0,74.0,"75""",1.33,36%,3.00,47%,0.00,0%,100%,0.0
Mike Stumpf,11,4,0,70.0,--,3.34,43%,8.85,47%,1.59,25%,33%,0.8
Muslim Salikhov,21,5,0,71.0,"70""",3.38,49%,2.90,62%,1.08,32%,72%,0.0
Colleen Schneider,11,7,0,,--,2.17,48%,2.50,50%,2.50,50%,60%,0.0
Krzysztof Soszynski,26,12,1,73.0,"77""",3.37,39%,3.13,58%,0.52,25%,71%,1.0
Joel Sutton,2,4,1,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sean Salmon,18,21,0,70.0,--,1.49,33%,2.03,65%,4.06,50%,0%,0.0
Amir Sadollah,6,5,0,70.0,"75""",4.71,46%,3.55,60%,0.57,27%,60%,0.3
Quillan Salkilld,9,1,0,72.0,"75""",5.48,59%,3.46,45%,8.41,37%,100%,0.5
Tommy Speer,21,7,0,70.0,"71""",2.56,51%,5.12,35%,2.02,33%,33%,0.0
Tony Sims,12,4,0,71.0,"70""",1.81,63%,0.76,65%,0.71,50%,50%,0.7
Tim Stout,12,10,0,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Serghei Spivac,17,6,0,75.0,"78""",3.45,48%,4.25,50%,4.21,62%,63%,0.5
Andre Santos,38,10,0,72.0,--,2.77,34%,4.17,41%,2.50,29%,75%,0.0
Mark Scanlon,9,2,0,69.0,--,2.20,35%,3.33,48%,3.00,75%,25%,2.0
Richie Smullen,3,1,1,69.0,"68""",1.98,77%,2.26,65%,8.49,66%,0%,0.0
Darren Stewart,12,8,0 (2 NC),72.0,"74""",3.05,45%,3.29,48%,1.75,45%,67%,0.1
Sumudaerji,17,7,0,68.0,"72""",4.40,51%,2.63,60%,0.18,25%,67%,0.7
Josh Sampo,11,5,0,64.0,"64""",1.99,36%,2.96,55%,1.06,33%,40%,2.1
Rory Singer,11,9,0,74.0,"77""",2.55,39%,2.42,63%,0.39,25%,64%,0.8
Evangelista Santos,21,18,0,70.0,"76""",3.94,36%,6.01,49%,0.78,100%,50%,0.4
Bailey Schoenfelder,5,1,0,75.0,"76""",0.00,0%,9.86,53%,0.00,0%,0%,0.0
Chris Sanford,5,1,0,71.0,--,0.23,50%,3.22,17%,0.00,0%,0%,3.5
Keisuke Sasu,11,3,1,65.0,"69""",2.76,49%,2.42,48%,3.76,40%,61%,1.9
Paul Sass,14,2,0,72.0,"73""",0.53,26%,1.90,51%,0.53,16%,33%,7.4
Ryan Stonitsch,8,1,0,69.0,--,2.53,36%,2.53,71%,0.00,0%,0%,0.0
Donald Sanchez,31,17,0,70.0,--,0.58,50%,1.16,55%,0.00,0%,50%,0.0
Jeimeson Saudino,8,5,0,66.0,--,0.66,30%,0.82,84%,2.47,50%,0%,2.5
Daniel Swain,20,10,1,69.0,"70""",0.80,44%,3.20,40%,0.00,0%,0%,6.0
Brandon Sene,2,2,0,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
David Smith,5,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gleristone Santos,33,7,0,69.0,--,3.40,31%,4.40,64%,0.00,0%,75%,0.0
Adrian Serrano,56,29,4,68.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Seal,13,15,1 (1 NC),76.0,--,5.50,68%,3.33,50%,0.00,0%,33%,0.0
Darko Stosic,13,4,0,72.0,"76""",2.61,45%,4.04,58%,3.42,50%,83%,0.0
Josh San Diego,8,3,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Walter Smith-Cotito,4,5,0 (1 NC),68.0,--,2.95,36%,3.53,68%,2.16,33%,57%,0.0
Jacob Silva,6,4,0,65.0,"67""",4.17,44%,4.92,56%,1.51,100%,66%,0.0
Jamey Simmons,7,4,0,66.0,"70""",0.79,21%,1.92,74%,0.00,0%,50%,0.0
Navajo Stirling,7,0,0,76.0,"79""",6.43,52%,2.49,61%,1.20,30%,78%,0.0
Igor Severino,8,1,0,67.0,"69""",7.17,52%,4.33,47%,9.69,71%,50%,0.0
Kaushik Saikumar,5,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ricky Simon,22,6,0,66.0,"69""",2.93,44%,3.72,61%,5.01,43%,75%,0.3
Maia Stevenson,6,5,0,64.0,"62""",1.57,54%,3.13,33%,3.91,100%,50%,0.0
Bruno Souza,10,3,0,70.0,"70""",3.73,39%,5.30,45%,0.50,16%,60%,0.0
Kyle Sturgeon,0,1,0,75.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Wes Sims,24,14,1 (2 NC),82.0,--,0.98,51%,2.95,37%,0.00,0%,40%,2.3
Joe Son,0,4,0,64.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dillon Smith,0,0,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kiran Singh,7,4,0,61.0,"65""",0.00,0%,19.51,23%,0.00,0%,0%,0.0
Janaina Silva,5,1,0,61.0,"60""",0.00,0%,1.50,62%,0.00,0%,0%,0.0
Daniel Sarafian,10,6,0,69.0,"73""",2.23,46%,3.10,58%,0.36,7%,53%,0.7
Neemias Santana,7,2,1,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tatiana Suarez,11,1,0,65.0,"66""",3.22,61%,1.58,47%,4.65,47%,80%,0.7
Ron Sparks,8,3,0,77.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Edmen Shahbazyan,15,5,0,74.0,"75""",3.74,48%,3.62,48%,1.69,37%,66%,0.4
Wade Shipp,11,5,0,75.0,--,4.29,86%,2.14,0%,0.00,0%,75%,0.0
Aji Susilo,6,4,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dustin Stoltzfus,16,7,0,72.0,"75""",3.14,45%,3.14,47%,2.26,41%,46%,1.3
Roman Salazar,10,6,0 (1 NC),67.0,--,1.95,39%,2.89,57%,1.77,18%,50%,0.0
Marcus Silveira,6,4,0 (1 NC),75.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Shockley,11,4,0,73.0,--,1.40,33%,1.75,60%,0.00,0%,61%,0.8
Martin Svensson,15,6,0,73.0,--,2.02,38%,5.91,38%,0.00,0%,0%,0.0
Renato Sobral,37,11,0,73.0,"75""",2.23,45%,1.53,57%,2.48,42%,65%,2.6
Sean Sharaf,4,1,0,75.0,"77""",7.31,44%,9.79,44%,2.07,12%,0%,0.0
Josh Samman,13,4,0,75.0,"79""",2.08,52%,2.47,34%,1.09,33%,33%,0.4
Kalib Starnes,17,11,1,75.0,"74""",2.71,48%,4.43,53%,1.46,33%,25%,0.6
Josh Stuart,1,4,0,69.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Shockman,6,3,0,76.0,--,0.87,32%,0.87,58%,0.00,0%,23%,0.0
Jonathan Santa Maria,3,4,0,69.0,--,3.60,51%,2.53,74%,0.00,0%,80%,0.0
Diego Sanchez,31,13,0,70.0,"72""",2.69,37%,3.02,56%,1.51,24%,46%,0.8
Felicia Spencer,9,3,0,66.0,"68""",3.21,48%,4.54,45%,1.18,18%,27%,0.2
Gilbert Smith,12,6,0,69.0,--,1.09,41%,2.73,35%,3.51,60%,0%,1.2
AJ Siscoe,1,2,0,67.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Antonio Silva,19,12,1,76.0,"82""",2.89,45%,3.09,50%,0.82,29%,66%,0.8
Landon Showalter,11,19,1,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Naho Sugiyuma,12,5,0,61.0,--,2.59,48%,2.45,71%,2.05,100%,66%,0.0
Rony Sefo,0,2,0,69.0,--,0.00,0%,0.43,0%,0.00,0%,0%,0.0
Stefan Sekulic,12,4,0,72.0,"75""",1.83,50%,2.83,64%,2.00,33%,25%,0.5
Alexander Sarnavskiy,35,6,0,71.0,--,1.43,66%,2.06,42%,0.00,0%,75%,0.0
Justin Sumter,7,3,0,74.0,"80""",2.68,48%,7.64,34%,2.87,100%,0%,0.0
Brandon Saling,8,6,0,70.0,--,2.88,40%,6.08,20%,0.00,0%,57%,0.0
Lacey Schuckman,11,10,0,63.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Shunichi Shimizu,30,18,11 (1 NC),65.0,--,0.14,33%,4.68,30%,0.00,0%,0%,0.0
Edivan Santos,12,3,1 (1 NC),76.0,"78""",1.55,48%,7.09,26%,0.00,0%,25%,0.0
Steven Siler,29,16,0,71.0,"70""",3.21,41%,2.96,54%,0.47,21%,55%,1.6
Vinicius Salvador,14,7,0,67.0,"70""",5.48,43%,6.50,48%,0.36,11%,86%,0.0
Thiago Silva,19,6,0 (2 NC),74.0,"74""",3.92,50%,2.55,67%,1.03,47%,70%,0.7
Mairon Santos,17,1,0,67.0,"72""",3.53,46%,2.38,66%,0.00,0%,50%,0.0
Luke Stewart,6,3,0,71.0,--,3.75,56%,2.34,53%,3.75,33%,50%,1.9
Neil Seery,16,13,0,64.0,"64""",3.56,41%,3.79,58%,0.78,27%,53%,1.6
Jerrod Sanders,16,3,0 (1 NC),68.0,"72""",0.88,64%,1.14,46%,2.20,33%,50%,1.6
Shi Ming,17,5,0,62.0,"60""",3.48,39%,3.24,53%,0.37,16%,58%,0.0
Ray Sloan,8,1,0,73.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Samy Schiavo,10,6,0,68.0,--,1.68,34%,2.62,38%,0.94,50%,66%,0.9
John Salgado,4,8,1,70.0,--,0.99,50%,1.86,40%,0.00,0%,50%,0.0
Cameron Smotherman,12,6,0,69.0,"69""",4.07,37%,3.52,58%,0.00,0%,62%,0.0
Lucasz Sudolski,8,1,0,76.0,"75""",5.70,67%,4.89,28%,0.00,0%,100%,0.0
Yuya Shirai,26,14,2,68.0,--,1.02,100%,4.07,55%,0.00,0%,0%,0.0
Akira Shoji,14,17,5,68.0,--,1.03,34%,2.63,53%,1.79,73%,82%,0.4
Rick Story,19,9,0,69.0,"71""",3.80,41%,2.17,62%,2.53,48%,63%,0.9
Gokhan Saki,1,2,0,72.0,"73""",7.09,58%,4.57,53%,0.00,0%,100%,0.0
Emrah Sonmez,14,5,0,70.0,"71""",1.47,46%,1.73,48%,5.00,21%,0%,0.0
Pete Sabala,3,15,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chael Sonnen,29,15,1,73.0,"73""",3.08,43%,1.10,62%,3.81,59%,66%,0.4
Duda Santana,3,1,0,67.0,"73""",6.01,39%,2.72,73%,6.44,60%,0%,0.0
Sean Santella,17,6,1 (1 NC),65.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joe Soto,18,7,0,66.0,"65""",3.36,41%,5.37,67%,0.85,21%,70%,1.9
Frank Shamrock,23,10,2,70.0,--,4.75,53%,4.66,57%,0.35,50%,37%,1.1
Dan Stittgen,12,5,0,73.0,--,2.97,46%,4.42,37%,0.78,100%,100%,0.0
Carl Seumanutafa,10,8,0,73.0,--,0.00,0%,3.33,75%,0.00,0%,0%,0.0
Eric Smith,1,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
YeDam Seo,7,4,0,63.0,"63""",1.07,27%,2.40,58%,0.50,20%,42%,0.0
Bob Sapp,11,20,0,77.0,--,3.19,55%,1.88,49%,0.58,100%,72%,0.0
Alex Stiebling,19,11,1 (1 NC),74.0,--,1.77,42%,1.45,52%,0.35,66%,66%,0.7
Frank Silva,7,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jose Santibanez,10,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rameau Thierry Sokoudjou,18,18,0,70.0,"78""",2.26,45%,2.61,56%,1.93,47%,78%,0.9
Cameron Saaiman,9,3,0,68.0,"67""",5.30,46%,4.14,51%,0.89,28%,47%,0.7
Lukasz Sajewski,13,3,0,68.0,"71""",2.06,35%,3.88,57%,1.01,25%,66%,0.0
Sean Sherk,36,4,1,66.0,"67""",2.17,35%,2.71,55%,4.09,46%,56%,0.4
Matt Skelton,0,1,0,75.0,--,0.00,0%,0.54,0%,0.00,0%,66%,0.0
Wataru Sakata,11,14,0,69.0,--,1.11,61%,2.08,31%,0.00,0%,0%,0.0
Christien Savoie,10,2,1,71.0,"72""",1.39,45%,6.95,23%,0.00,0%,12%,0.0
Justin Salas,12,7,0,68.0,"70""",3.42,43%,2.96,68%,2.43,20%,0%,0.0
Jay Silva,10,11,1,74.0,--,1.13,34%,3.07,40%,0.00,0%,38%,1.0
Peter Sobotta,17,7,1,72.0,"75""",2.14,40%,2.90,58%,1.53,32%,77%,0.5
Adriano Santos,0,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Punahele Soriano,11,4,0,71.0,"72""",5.00,53%,3.88,48%,1.47,56%,37%,0.0
Klaudia Sygula,7,2,0,68.0,"69""",5.30,53%,4.73,57%,0.70,20%,33%,0.0
Yusup Saadulaev,16,4,1 (1 NC),66.0,--,0.57,45%,0.96,66%,5.73,60%,0%,1.0
Pat Sabatini,20,5,0,68.0,"70""",1.87,62%,1.22,49%,3.98,48%,50%,1.8
Bobby Southworth,10,6,0 (1 NC),74.0,--,0.99,39%,1.38,65%,3.98,78%,64%,1.3
Marc Stevens,21,10,0,69.0,--,0.45,26%,1.79,46%,0.00,0%,0%,0.0
Colton Smith,7,4,0,72.0,"71""",1.64,41%,2.30,51%,4.09,36%,25%,1.4
Pat Schilling,5,2,0,68.0,--,1.87,26%,8.24,52%,0.00,0%,0%,0.0
Harris Sarmiento,36,26,0,69.0,--,0.84,25%,3.46,36%,2.36,60%,57%,0.0
Bruno Silva,14,7,2 (1 NC),64.0,"65""",3.83,49%,4.81,50%,1.79,23%,60%,0.2
Fabiano Scherner,11,10,0 (3 NC),75.0,--,1.31,31%,3.20,38%,1.09,33%,40%,0.0
Austin Springer,12,4,0,68.0,"71""",3.54,57%,3.15,41%,3.37,40%,100%,0.8
Greg Scott,3,4,0,69.0,--,3.90,55%,7.79,37%,11.69,100%,0%,0.0
Nicholas Sergiacomi,1,1,0,,--,4.38,55%,3.94,59%,0.00,0%,0%,0.0
Niklas Stolze,12,6,0,73.0,"74""",2.12,48%,2.25,49%,0.66,100%,55%,0.7
Johnny Sampaio,3,1,0,68.0,--,1.32,40%,2.64,50%,9.89,50%,0%,9.9
Shimon Smotritsky,8,2,0,74.0,"74""",3.52,34%,8.67,56%,3.52,33%,50%,0.0
Mitchell Sipe,4,1,0,74.0,--,5.50,56%,9.98,46%,1.53,20%,0%,0.0
Mike Santiago,19,12,0,70.0,"69""",3.44,49%,3.58,36%,2.66,50%,53%,1.1
Luis Santos,63,10,1 (1 NC),73.0,--,4.40,57%,4.00,64%,0.00,0%,0%,0.0
Kiril Sidelnikov,11,4,0,71.0,--,2.87,28%,4.48,61%,0.00,0%,0%,0.0
Gabriel Silva,8,2,0,66.0,"71""",1.30,34%,3.47,45%,1.50,25%,38%,0.5
Rob Sinclair,13,5,0,68.0,--,1.20,33%,1.73,73%,0.00,0%,50%,0.0
Devin Smyth,4,2,0,70.0,"72""",2.60,68%,6.73,25%,4.00,26%,100%,0.0
Priya Sharma,5,2,0,61.0,"59""",1.33,16%,3.20,40%,0.00,0%,55%,0.0
Elvis Sinosic,7,11,2,75.0,"77""",1.13,37%,4.60,53%,0.00,0%,0%,1.2
Andre Soukhamthath,13,8,0,69.0,"70""",2.77,44%,4.31,49%,1.25,53%,58%,0.2
Brendan Schaub,10,5,0,76.0,"78""",2.92,37%,2.22,57%,2.32,46%,72%,0.4
Bruno Silva,23,13,0,72.0,"74""",3.86,48%,5.35,41%,0.77,22%,74%,0.0
Andreas Stahl,10,4,0,71.0,--,2.83,37%,4.74,57%,1.55,66%,80%,0.0
Mario Soto,7,2,0,72.0,--,1.43,23%,5.23,42%,0.00,0%,0%,0.0
Daniel Spohn,15,6,0,76.0,"79""",2.42,49%,1.60,53%,0.00,0%,28%,2.5
John Salter,14,3,0,73.0,"74""",1.68,32%,1.68,68%,2.85,46%,66%,0.5
Djorden Santos,10,2,0,72.0,"75""",7.20,43%,5.87,49%,1.00,40%,86%,0.0
Sim Kai Xiong,7,1,0,66.0,"67""",3.15,48%,3.66,57%,6.19,34%,100%,0.0
Daniel Spitz,6,3,0,79.0,"82""",2.60,35%,5.30,46%,0.74,66%,0%,0.0
Scott Shaffer,0,1,0,67.0,--,2.40,67%,0.53,50%,0.00,0%,72%,3.0
George Sotiropoulos,14,7,0,70.0,"71""",2.61,27%,2.52,67%,2.32,31%,53%,1.6
Jacare Souza,26,10,0 (1 NC),73.0,"72""",2.53,47%,2.83,62%,2.57,39%,57%,1.3
Edimilson Souza,15,5,0,72.0,"74""",4.65,44%,2.91,58%,0.00,0%,50%,0.0
Devonte Smith,11,4,0,69.0,"76""",4.55,53%,3.91,49%,0.35,25%,85%,0.3
Sean Soriano,14,8,0,69.0,"70""",3.18,61%,2.14,56%,1.33,55%,52%,0.0
Joe Slick,16,5,3,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Elijah Smith,8,1,0,69.0,"71""",3.83,41%,3.87,47%,4.00,53%,66%,1.0
Brandon Sayles,5,1,0,77.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Masanori Suda,22,11,3,69.0,--,1.80,50%,1.20,63%,0.00,0%,60%,0.0
Kestutis Smirnovas,24,8,2,70.0,--,4.95,52%,5.05,54%,1.55,50%,100%,1.6
Mark Striegl,18,4,0 (1 NC),68.0,"70""",1.40,45%,4.07,40%,0.00,0%,66%,0.0
Chad Sutton,2,2,0,73.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexander Soldatkin,14,4,0,74.0,"75""",1.16,60%,1.35,26%,1.45,50%,50%,0.0
Benardo Sopaj,12,3,0,66.0,"66""",4.24,56%,4.88,49%,2.53,71%,76%,0.0
Liliya Shakirova,8,2,0,64.0,"65""",2.70,30%,2.58,74%,0.00,0%,0%,0.0
Floyd Sword,12,3,0,72.0,--,0.78,42%,1.57,40%,0.00,0%,33%,0.0
Jhonata Silva,8,2,0,65.0,"66""",4.86,52%,9.85,44%,0.00,0%,0%,0.0
Jake Shields,31,9,1 (1 NC),72.0,"72""",2.45,36%,1.80,56%,2.83,29%,35%,1.2
Erik Silva,9,3,0,69.0,"71""",2.07,70%,1.57,40%,3.76,80%,62%,0.0
Dmitri Stepanov,0,1,0,75.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Will Santiago,9,5,0,67.0,--,1.47,39%,5.53,56%,1.00,50%,100%,0.0
Leonardo Santos,18,7,1,72.0,"75""",2.82,46%,3.40,54%,0.88,25%,86%,0.2
Samuel Sanches,10,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yokthai Sithoar,0,1,0,67.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Wanderlei Silva,35,13,1 (1 NC),71.0,"74""",2.79,40%,2.19,60%,0.97,53%,62%,0.6
Matthew Semelsberger,11,8,0,73.0,"75""",3.77,42%,4.24,54%,1.01,57%,45%,0.4
Chase Sherman,16,12,0,76.0,"78""",6.04,45%,6.65,52%,0.09,50%,74%,0.0
Shogo Sato,5,1,0 (1 NC),65.0,"66""",2.14,25%,25.71,29%,0.00,0%,0%,0.0
Pete Spratt,25,23,0,69.0,--,1.63,48%,1.33,55%,0.30,100%,46%,0.3
Aaron Simpson,12,5,0,72.0,"73""",3.60,52%,2.53,56%,3.78,34%,83%,0.5
Clifford Starks,13,3,0,72.0,"78""",1.94,33%,2.49,58%,1.94,100%,60%,0.0
Leslie Smith,10,7,1,69.0,"66""",7.56,40%,8.41,51%,0.00,0%,62%,0.0
Fredy Serrano,3,2,0,63.0,"65""",1.58,26%,1.89,61%,2.84,25%,84%,0.0
Aljamain Sterling,24,5,0,67.0,"71""",4.41,52%,2.21,58%,2.51,29%,42%,0.7
Wes Shivers,7,1,0,80.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alex Soto,8,3,1,68.0,--,2.95,25%,5.02,59%,2.82,30%,0%,0.0
Georges St-Pierre,26,2,0,71.0,"76""",3.78,53%,1.40,72%,4.16,74%,83%,1.1
Kim In Seok,3,6,0,66.0,--,0.87,37%,5.19,60%,0.00,0%,0%,0.0
Zach Skinner,10,11,0,66.0,--,0.53,50%,2.40,32%,5.00,27%,100%,1.0
Josh Smith,9,8,0,72.0,--,0.73,28%,1.40,54%,0.00,0%,57%,2.0
Hayato Sakurai,38,13,2,67.0,--,2.45,49%,1.94,59%,1.87,69%,56%,0.3
Paul Song,2,2,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Curtis Stout,11,12,1,73.0,--,0.69,67%,3.20,29%,0.00,0%,20%,0.0
Erick Silva,19,9,0 (1 NC),72.0,"74""",2.50,48%,4.18,49%,0.85,35%,56%,1.4
Tony Sylvester,11,3,0,73.0,--,0.00,0%,10.12,12%,0.00,0%,0%,0.0
Jason Sharp,3,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Greg Stott,0,1,0,67.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jean Silva,19,12,3 (1 NC),66.0,--,0.73,22%,2.93,52%,0.00,0%,0%,0.0
Diego Saraiva,22,20,1,66.0,--,1.64,32%,3.58,62%,1.33,40%,0%,0.7
Chris Solomon,0,0,0,71.0,--,0.00,0%,2.80,37%,0.00,0%,33%,0.0
Bobby Stack,8,3,0,69.0,--,1.00,20%,2.89,34%,7.48,45%,100%,0.0
Cristina Stanciu,5,2,0,63.0,--,2.50,50%,3.07,52%,0.85,100%,40%,1.7
Ray Steinbeiss,14,7,0,71.0,--,0.00,0%,0.00,100%,0.00,0%,0%,0.0
Siala Siliga,12,5,0,73.0,--,1.08,26%,1.96,50%,1.47,50%,80%,0.0
Louis Smolka,17,9,0,69.0,"68""",4.67,47%,4.11,53%,1.69,35%,32%,1.8
Andrew Sanchez,13,7,0,73.0,"74""",4.30,43%,5.10,50%,2.55,36%,100%,0.0
Josh Stansbury,4,8,0,74.0,"74""",3.22,54%,3.54,54%,0.00,0%,87%,1.0
Jean Silva,16,2,0,67.0,"69""",4.87,52%,4.13,56%,0.60,50%,86%,0.9
Adam Steele,0,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Saunders,16,8,0,68.0,--,1.48,22%,2.96,75%,3.70,100%,0%,0.0
Eric Schwartz,2,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mikheil Sazhiniani,13,3,0,72.0,"71""",2.27,28%,3.03,52%,0.00,0%,100%,0.0
Lumumba Sayers,6,5,0,72.0,--,2.54,41%,2.37,48%,7.63,75%,0%,2.5
Chas Skelly,19,3,0 (1 NC),71.0,"72""",2.01,40%,3.21,49%,1.74,34%,39%,2.3
Mario Sousa,15,3,0,75.0,"79""",2.82,50%,2.99,28%,0.52,25%,37%,0.5
Alessio Sakara,19,11,0 (2 NC),72.0,"72""",3.96,47%,2.80,59%,2.18,78%,62%,0.0
Everett Sims,4,1,0,77.0,"77""",0.81,66%,2.19,30%,0.00,0%,42%,1.2
Art Santore,18,8,0,74.0,--,1.40,12%,7.31,52%,0.00,0%,100%,0.0
Denis Stojnic,13,3,0 (1 NC),72.0,--,1.51,23%,6.06,36%,0.00,0%,80%,1.0
DongHyun Seo,7,3,1,65.0,"67""",4.91,63%,3.35,41%,0.00,0%,0%,0.0
Rosi Sexton,13,5,0,63.0,--,3.31,39%,7.42,41%,0.75,10%,80%,0.0
Tarec Saffiedine,16,7,0,70.0,"70""",4.05,47%,3.06,62%,0.52,36%,84%,0.1
Benoit Saint Denis,14,3,0 (1 NC),71.0,"73""",5.39,55%,4.61,41%,4.19,39%,70%,1.5
Alex Schoenauer,15,10,0,75.0,--,1.22,40%,2.27,42%,0.00,0%,22%,4.9
Danilo Suzart,9,2,0,72.0,--,4.09,55%,11.73,51%,0.00,0%,0%,0.0
Oumar Sy,11,1,0,76.0,"83""",3.68,50%,1.81,70%,2.22,33%,100%,0.4
Thiago Santos,22,11,0,74.0,"76""",3.72,48%,2.57,53%,0.88,33%,65%,0.1
Ivan Shtyrkov,15,0,1,72.0,"74""",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dmitry Sosnovskiy,11,0,0,75.0,"77""",2.95,70%,2.53,35%,3.16,66%,100%,3.2
Dmitrii Smoliakov,9,3,0,74.0,"74""",1.44,42%,3.81,55%,0.00,0%,75%,0.0
Leo Sylvest,10,16,0,71.0,--,0.00,0%,6.58,27%,0.00,0%,0%,0.0
Jack Shore,17,3,0,68.0,"71""",3.60,58%,2.31,56%,3.22,39%,74%,0.6
Patrick Smith,20,17,0,74.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Denis Sobolev,4,7,0,75.0,--,0.00,0%,5.45,33%,0.00,0%,0%,0.0
Douglas Silva de Andrade,29,6,0 (1 NC),67.0,"68""",3.54,38%,3.93,57%,0.55,42%,72%,0.2
Luke Sanders,13,5,0,66.0,"67""",6.61,52%,4.37,50%,0.71,30%,72%,0.2
Sulangrangbo,9,3,0,69.0,"66""",6.32,60%,5.00,48%,0.00,0%,100%,0.0
Valentina Shevchenko,25,4,1,65.0,"66""",3.14,52%,2.06,63%,2.62,60%,75%,0.3
Ketlen Souza,15,5,0,63.0,"63""",4.92,59%,4.46,51%,0.43,25%,64%,0.4
Eric Steenberg,5,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ryan Spann,22,11,0,77.0,"79""",3.20,39%,4.21,43%,1.17,31%,52%,1.5
Frankie Saenz,13,7,0,66.0,"66""",3.94,47%,3.50,52%,1.74,31%,61%,0.1
Jason Saggo,12,4,0,71.0,"71""",2.50,39%,2.94,52%,2.33,40%,23%,0.0
Paulo Santos,0,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Waachiim Spiritwolf,12,13,1 (2 NC),68.0,--,10.00,100%,10.00,0%,0.00,0%,0%,0.0
Gerald Strebendt,9,7,0,69.0,--,0.00,0%,4.00,38%,0.00,0%,0%,16.4
Nate Schroeder,11,10,0,73.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Zachary Scroggin,7,1,0,75.0,"74""",2.40,37%,8.80,68%,0.00,0%,0%,0.0
Sean Strickland,29,7,0,73.0,"76""",5.95,42%,4.57,60%,0.73,64%,76%,0.2
Song Kenan,22,9,0,72.0,"71""",4.49,46%,5.82,51%,0.42,30%,73%,0.0
